FECHA;ACTIVIDAD;TERRITORIAL;SERVICIO;IDIOMA;OFRECIDAS;ATENDIDAS;ABANDONADAS;DESCONECTADAS;AHT;NDA;PREVISION;DESV. OFRECIDAS VS PREVISION
02/09/2024;Campaña Mutua;Global;Información;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
02/09/2024;Campaña Sin Esperas;Global;Citas;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
02/09/2024;Campaña Top Doctor;Andalucía;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,733671749;-100,00%
02/09/2024;Campaña Top Doctor;Madrid, Norte y Canarias;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,366835874;-100,00%
02/09/2024;Campaña Top Doctor;Mediterráneo;Citas;Castellano;0;0;0;0;00:00:00;0,00%;0,427975187;-100,00%
02/09/2024;Cita previa;Andalucía;Citas;Castellano;4463;3982;323;158;00:03:43;89,22%;5048,035991;-11,59%
02/09/2024;Cita previa;Andalucía;Citas;Inglés;117;87;11;19;00:02:08;74,36%;;0,00%
02/09/2024;Cita previa;Andalucía;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
02/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Castellano;982;940;37;5;00:04:02;95,72%;1297,582573;-24,32%
02/09/2024;Cita previa;Andalucía;Radiodiagnóstico;Inglés;9;8;1;0;00:03:16;88,89%;;0,00%
02/09/2024;Cita previa;Madrid, Norte y Canarias;BackOffice;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
02/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Castellano;4375;3774;396;205;00:04:10;86,26%;4377,353616;-0,05%
02/09/2024;Cita previa;Madrid, Norte y Canarias;Citas;Inglés;4;3;0;1;00:04:03;75,00%;;0,00%
02/09/2024;Cita previa;Madrid, Norte y Canarias;Contingencia;Castellano;0;0;0;0;00:00:00;0,00%;;0,00%
02/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Castellano;881;833;37;11;00:04:23;94,55%;1207,623137;-27,05%
02/09/2024;Cita previa;Madrid, Norte y Canarias;Radiodiagnóstico;Inglés;3;2;1;0;00:01:24;66,67%;;0,00%
02/09/2024;Cita previa;Mediterráneo;Citas;Castellano;4043;3442;449;152;00:03:51;85,13%;4126,04947;-2,01%
02/09/2024;Cita previa;Mediterráneo;Citas;Catalán;348;333;12;3;00:04:03;95,69%;;0,00%
